remark,"CSV-Import-Export"
remark,"Date = Thu Jul 09 14:11:17 2015"
remark,"Version = RSLogix 5000 v20.01"
remark,"Owner = SUTD_ITrust"
remark,"Company = SUTD_ITrust"
0.3
TAG,,W_AI_AIT_401_HRDNSS,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_AIT_401_HRDNSS_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_AIT_402_ORP,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_AIT_402_ORP_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_DPIT_301_DPRESS,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_DPIT_301_DPRESS_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_FIT_301_FLOW,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_FIT_301_FLOW_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_FIT_401_FLOW,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_FIT_401_FLOW_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_FIT_601_FLOW,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_FIT_601_FLOW_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_FIT_601_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_LIT_301_LEVEL,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_LIT_301_LEVEL_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_LIT_401_LEVEL,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_LIT_401_LEVEL_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_RIO6_SPARE_01,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,W_AI_RIO6_SPARE_01_HTY,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,XXX,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_FIT601_Tot_Enb,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,_MV301_AutoInp,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
